 Student Id No: 1 || Grade Level: 1 || First Name: Evelyn || Last Name: Torgenson || Email: evelynt+student+academy@chalk.com || GuardianEmail1: null || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 2 || Grade Level: 1 || First Name: Joseph || Last Name: Sturdevant || Email: josephs+student+academy@chalk.com || GuardianEmail1: josephs+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 3 || Grade Level: 1 || First Name: Scotty || Last Name: Busch || Email: scottyb+student+academy@chalk.com || GuardianEmail1: scottyb+guardian+academy@chalk.com || GuardianEmail2: nickyb+guardian+academy@chalk.com || isArchived: null || isDeleted: null
 Student Id No: 4 || Grade Level: 1 || First Name: Nicky || Last Name: Busch || Email: nickyb+student+academy@chalk.com || GuardianEmail1: nickyb+guardian+academy@chalk.com || GuardianEmail2: scottyb+guardian+academy@chalk.com || isArchived: null || isDeleted: null
 Student Id No: 5 || Grade Level: 1 || First Name: Hilma || Last Name: Habbard || Email: hilmah+student+academy@chalk.com || GuardianEmail1: hilmah+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 6 || Grade Level: 2 || First Name: Avis || Last Name: Faulcon || Email: avisf+student+academy@chalk.com || GuardianEmail1: avisf+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 7 || Grade Level: 2 || First Name: Marybeth || Last Name: Bolduc || Email: marybethb+student+academy@chalk.com || GuardianEmail1: null || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 8 || Grade Level: 2 || First Name: Scarlet || Last Name: Alt || Email: scarleta+student+academy@chalk.com || GuardianEmail1: scarleta+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 9 || Grade Level: 2 || First Name: Rheba || Last Name: Loftin || Email: rhebal+student+academy@chalk.com || GuardianEmail1: null || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 10 || Grade Level: 2 || First Name: Marvel || Last Name: Alexander || Email: null || GuardianEmail1: null || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 11 || Grade Level: 2 || First Name: Terri || Last Name: Robeson || Email: terrir+student+academy@chalk.com || GuardianEmail1: terrir+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 12 || Grade Level: 3 || First Name: Titus || Last Name: Seese || Email: tituss+student+academy@chalk.com || GuardianEmail1: tituss+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 13 || Grade Level: 3 || First Name: Dionne || Last Name: Heron || Email: dionneh+student+academy@chalk.com || GuardianEmail1: dionneh+guardian+academy@chalk.com || GuardianEmail2: dionneh2+guardian+academy@chalk.com || isArchived: null || isDeleted: null
 Student Id No: 14 || Grade Level: 3 || First Name: Tanna || Last Name: Weisberg || Email: tannaw+student+academy@chalk.com || GuardianEmail1: tannaw+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 15 || Grade Level: 3 || First Name: Ethel || Last Name: Kleckner || Email: ethelk+student+academy@chalk.com || GuardianEmail1: null || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 16 || Grade Level: 3 || First Name: Lorenza || Last Name: Waggener || Email: lorenzaw+student+academy@chalk.com || GuardianEmail1: lorenzaw+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 17 || Grade Level: 4 || First Name: Nannie || Last Name: Stupka || Email: nannies+student+academy@chalk.com || GuardianEmail1: nannies+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 18 || Grade Level: 4 || First Name: Emile || Last Name: Rincon || Email: emiler+student+academy@chalk.com || GuardianEmail1: null || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 19 || Grade Level: 4 || First Name: Zeneida || Last Name: Hotard || Email: zeneidah+student+academy@chalk.com || GuardianEmail1: zeneidah+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
 Student Id No: 20 || Grade Level: 4 || First Name: Lenora || Last Name: Speights || Email: lenoras+student+academy@chalk.com || GuardianEmail1: lenoras+guardian+academy@chalk.com || GuardianEmail2: null || isArchived: null || isDeleted: null
